Flight Number,Origin,Destination,Departure Datetime,Arrival Datetime,Elapsed Minutes,Cheapest Price,Search URL,Error Status,Equipment
B6 434,SFO,BOS,09/16/2025 7:10am,09/16/2025 3:57pm,347,$119,https://www.jetblue.com/booking/flights?from=SFO&to=BOS&depart=09%2F16%2F2025&isMultiCity=false&noOfRoute=1&adults=1&children=0&infants=0&sharedMarket=false&roundTripFaresFlag=false&usePoints=false,OK,
B6 1734,SFO,BOS,09/16/2025 8:40am,09/16/2025 5:48pm,368,$139,https://www.jetblue.com/booking/flights?from=SFO&to=BOS&depart=09%2F16%2F2025&isMultiCity=false&noOfRoute=1&adults=1&children=0&infants=0&sharedMarket=false&roundTripFaresFlag=false&usePoints=false,OK,
B6 834,SFO,BOS,09/16/2025 11:00am,09/16/2025 8:26pm,386,$154,https://www.jetblue.com/booking/flights?from=SFO&to=BOS&depart=09%2F16%2F2025&isMultiCity=false&noOfRoute=1&adults=1&children=0&infants=0&sharedMarket=false&roundTripFaresFlag=false&usePoints=false,OK,
B6 134,SFO,BOS,09/16/2025 10:00pm,09/16/2025 6:39am,339,$139,https://www.jetblue.com/booking/flights?from=SFO&to=BOS&depart=09%2F16%2F2025&isMultiCity=false&noOfRoute=1&adults=1&children=0&infants=0&sharedMarket=false&roundTripFaresFlag=false&usePoints=false,OK,
B6 378,SFO,FLL,09/16/2025 10:35am,09/16/2025 7:10pm,335,$116,https://www.jetblue.com/booking/flights?from=SFO&to=FLL&depart=09%2F16%2F2025&isMultiCity=false&noOfRoute=1&adults=1&children=0&infants=0&sharedMarket=false&roundTripFaresFlag=false&usePoints=false,OK,
B6 278,SFO,FLL,09/16/2025 11:20pm,09/16/2025 7:51am,331,$116,https://www.jetblue.com/booking/flights?from=SFO&to=FLL&depart=09%2F16%2F2025&isMultiCity=false&noOfRoute=1&adults=1&children=0&infants=0&sharedMarket=false&roundTripFaresFlag=false&usePoints=false,OK,
B6 116,SFO,JFK,09/16/2025 6:15am,09/16/2025 2:57pm,342,$129,https://www.jetblue.com/booking/flights?from=SFO&to=JFK&depart=09%2F16%2F2025&isMultiCity=false&noOfRoute=1&adults=1&children=0&infants=0&sharedMarket=false&roundTripFaresFlag=false&usePoints=false,OK,
B6 316,SFO,JFK,09/16/2025 8:00am,09/16/2025 4:43pm,343,$149,https://www.jetblue.com/booking/flights?from=SFO&to=JFK&depart=09%2F16%2F2025&isMultiCity=false&noOfRoute=1&adults=1&children=0&infants=0&sharedMarket=false&roundTripFaresFlag=false&usePoints=false,OK,
B6 216,SFO,JFK,09/16/2025 11:30am,09/16/2025 8:20pm,350,$174,https://www.jetblue.com/booking/flights?from=SFO&to=JFK&depart=09%2F16%2F2025&isMultiCity=false&noOfRoute=1&adults=1&children=0&infants=0&sharedMarket=false&roundTripFaresFlag=false&usePoints=false,OK,
B6 416,SFO,JFK,09/16/2025 1:45pm,09/16/2025 10:28pm,343,$129,https://www.jetblue.com/booking/flights?from=SFO&to=JFK&depart=09%2F16%2F2025&isMultiCity=false&noOfRoute=1&adults=1&children=0&infants=0&sharedMarket=false&roundTripFaresFlag=false&usePoints=false,OK,
