Origin,Destination,Departure Date,Flight Number,Departure Time,Arrival Time,Duration,Price,Stops,Route Type
B6 1341,BOS,CLE,09/03/2025 6:20pm,09/03/2025 8:24pm,124,$139,https://www.jetblue.com/booking/flights?from=BOS&to=CLE&depart=09%2F03%2F2025&isMultiCity=false&noOfRoute=1&adults=1&children=0&infants=0&sharedMarket=false&roundTripFaresFlag=false&usePoints=false,OK,
B6 267,BOS,CHS,09/03/2025 9:25am,09/03/2025 11:58am,153,$169,https://www.jetblue.com/booking/flights?from=BOS&to=CHS&depart=09%2F03%2F2025&isMultiCity=false&noOfRoute=1&adults=1&children=0&infants=0&sharedMarket=false&roundTripFaresFlag=false&usePoints=false,OK,
B6 2067,BOS,CHS,09/03/2025 4:50pm,09/03/2025 7:25pm,155,$169,https://www.jetblue.com/booking/flights?from=BOS&to=CHS&depart=09%2F03%2F2025&isMultiCity=false&noOfRoute=1&adults=1&children=0&infants=0&sharedMarket=false&roundTripFaresFlag=false&usePoints=false,OK,
B6 33,BOS,CDG,09/03/2025 8:05pm,09/03/2025 9:15am,430,$623,https://www.jetblue.com/booking/flights?from=BOS&to=CDG&depart=09%2F03%2F2025&isMultiCity=false&noOfRoute=1&adults=1&children=0&infants=0&sharedMarket=false&roundTripFaresFlag=false&usePoints=false,OK,
B6 1215,BOS,BUF,09/03/2025 7:20am,09/03/2025 8:53am,93,$64,https://www.jetblue.com/booking/flights?from=BOS&to=BUF&depart=09%2F03%2F2025&isMultiCity=false&noOfRoute=1&adults=1&children=0&infants=0&sharedMarket=false&roundTripFaresFlag=false&usePoints=false,OK,
B6 715,BOS,BUF,09/03/2025 7:25pm,09/03/2025 9:00pm,95,$64,https://www.jetblue.com/booking/flights?from=BOS&to=BUF&depart=09%2F03%2F2025&isMultiCity=false&noOfRoute=1&adults=1&children=0&infants=0&sharedMarket=false&roundTripFaresFlag=false&usePoints=false,OK,
B6 1807,BOS,BNA,09/03/2025 8:00am,09/03/2025 9:49am,169,$119,https://www.jetblue.com/booking/flights?from=BOS&to=BNA&depart=09%2F03%2F2025&isMultiCity=false&noOfRoute=1&adults=1&children=0&infants=0&sharedMarket=false&roundTripFaresFlag=false&usePoints=false,OK,
B6 1307,BOS,BNA,09/03/2025 12:24pm,09/03/2025 2:13pm,169,$119,https://www.jetblue.com/booking/flights?from=BOS&to=BNA&depart=09%2F03%2F2025&isMultiCity=false&noOfRoute=1&adults=1&children=0&infants=0&sharedMarket=false&roundTripFaresFlag=false&usePoints=false,OK,
B6 203,BOS,BDA,09/03/2025 9:21am,09/03/2025 12:35pm,134,$229,https://www.jetblue.com/booking/flights?from=BOS&to=BDA&depart=09%2F03%2F2025&isMultiCity=false&noOfRoute=1&adults=1&children=0&infants=0&sharedMarket=false&roundTripFaresFlag=false&usePoints=false,OK,
B6 791,BOS,AUS,09/03/2025 8:30am,09/03/2025 11:51am,261,$149,https://www.jetblue.com/booking/flights?from=BOS&to=AUS&depart=09%2F03%2F2025&isMultiCity=false&noOfRoute=1&adults=1&children=0&infants=0&sharedMarket=false&roundTripFaresFlag=false&usePoints=false,OK,
B6 2173,BOS,AUA,09/03/2025 8:03am,09/03/2025 1:00pm,297,$279,https://www.jetblue.com/booking/flights?from=BOS&to=AUA&depart=09%2F03%2F2025&isMultiCity=false&noOfRoute=1&adults=1&children=0&infants=0&sharedMarket=false&roundTripFaresFlag=false&usePoints=false,OK,
B6 1097,BOS,ATL,09/03/2025 8:50am,09/03/2025 11:36am,166,$195,https://www.jetblue.com/booking/flights?from=BOS&to=ATL&depart=09%2F03%2F2025&isMultiCity=false&noOfRoute=1&adults=1&children=0&infants=0&sharedMarket=false&roundTripFaresFlag=false&usePoints=false,OK,
B6 697,BOS,ATL,09/03/2025 2:00pm,09/03/2025 4:50pm,170,$220,https://www.jetblue.com/booking/flights?from=BOS&to=ATL&depart=09%2F03%2F2025&isMultiCity=false&noOfRoute=1&adults=1&children=0&infants=0&sharedMarket=false&roundTripFaresFlag=false&usePoints=false,OK,
B6 31,BOS,AMS,09/03/2025 10:23pm,09/03/2025 11:35am,432,$514,https://www.jetblue.com/booking/flights?from=BOS&to=AMS&depart=09%2F03%2F2025&isMultiCity=false&noOfRoute=1&adults=1&children=0&infants=0&sharedMarket=false&roundTripFaresFlag=false&usePoints=false,OK,
B6 1352,BOS,ACK,09/03/2025 12:40pm,09/03/2025 1:31pm,51,$74,https://www.jetblue.com/booking/flights?from=BOS&to=ACK&depart=09%2F03%2F2025&isMultiCity=false&noOfRoute=1&adults=1&children=0&infants=0&sharedMarket=false&roundTripFaresFlag=false&usePoints=false,OK,
B6 917,BOS,JFK,09/03/2025 5:46am,09/03/2025 7:00am,74,$99,https://www.jetblue.com/booking/flights?from=BOS&to=JFK&depart=09%2F03%2F2025&isMultiCity=false&noOfRoute=1&adults=1&children=0&infants=0&sharedMarket=false&roundTripFaresFlag=false&usePoints=false,OK,
B6 417,BOS,JFK,09/03/2025 7:15am,09/03/2025 8:37am,82,$99,https://www.jetblue.com/booking/flights?from=BOS&to=JFK&depart=09%2F03%2F2025&isMultiCity=false&noOfRoute=1&adults=1&children=0&infants=0&sharedMarket=false&roundTripFaresFlag=false&usePoints=false,OK,
B6 2917,BOS,JFK,09/03/2025 8:15am,09/03/2025 9:36am,81,$99,https://www.jetblue.com/booking/flights?from=BOS&to=JFK&depart=09%2F03%2F2025&isMultiCity=false&noOfRoute=1&adults=1&children=0&infants=0&sharedMarket=false&roundTripFaresFlag=false&usePoints=false,OK,
B6 1117,BOS,JFK,09/03/2025 10:14am,09/03/2025 11:29am,75,$99,https://www.jetblue.com/booking/flights?from=BOS&to=JFK&depart=09%2F03%2F2025&isMultiCity=false&noOfRoute=1&adults=1&children=0&infants=0&sharedMarket=false&roundTripFaresFlag=false&usePoints=false,OK,
B6 717,BOS,JFK,09/03/2025 12:15pm,09/03/2025 1:30pm,75,$99,https://www.jetblue.com/booking/flights?from=BOS&to=JFK&depart=09%2F03%2F2025&isMultiCity=false&noOfRoute=1&adults=1&children=0&infants=0&sharedMarket=false&roundTripFaresFlag=false&usePoints=false,OK,
B6 2817,BOS,JFK,09/03/2025 1:15pm,09/03/2025 2:34pm,79,$99,https://www.jetblue.com/booking/flights?from=BOS&to=JFK&depart=09%2F03%2F2025&isMultiCity=false&noOfRoute=1&adults=1&children=0&infants=0&sharedMarket=false&roundTripFaresFlag=false&usePoints=false,OK,
B6 2717,BOS,JFK,09/03/2025 2:15pm,09/03/2025 3:33pm,78,$99,https://www.jetblue.com/booking/flights?from=BOS&to=JFK&depart=09%2F03%2F2025&isMultiCity=false&noOfRoute=1&adults=1&children=0&infants=0&sharedMarket=false&roundTripFaresFlag=false&usePoints=false,OK,
B6 617,BOS,JFK,09/03/2025 3:11pm,09/03/2025 4:29pm,78,$99,https://www.jetblue.com/booking/flights?from=BOS&to=JFK&depart=09%2F03%2F2025&isMultiCity=false&noOfRoute=1&adults=1&children=0&infants=0&sharedMarket=false&roundTripFaresFlag=false&usePoints=false,OK,
B6 517,BOS,JFK,09/03/2025 5:20pm,09/03/2025 6:43pm,83,$99,https://www.jetblue.com/booking/flights?from=BOS&to=JFK&depart=09%2F03%2F2025&isMultiCity=false&noOfRoute=1&adults=1&children=0&infants=0&sharedMarket=false&roundTripFaresFlag=false&usePoints=false,OK,
B6 1617,BOS,JFK,09/03/2025 7:06pm,09/03/2025 8:30pm,84,$99,https://www.jetblue.com/booking/flights?from=BOS&to=JFK&depart=09%2F03%2F2025&isMultiCity=false&noOfRoute=1&adults=1&children=0&infants=0&sharedMarket=false&roundTripFaresFlag=false&usePoints=false,OK,
B6 317,BOS,JFK,09/03/2025 8:30pm,09/03/2025 9:53pm,83,$99,https://www.jetblue.com/booking/flights?from=BOS&to=JFK&depart=09%2F03%2F2025&isMultiCity=false&noOfRoute=1&adults=1&children=0&infants=0&sharedMarket=false&roundTripFaresFlag=false&usePoints=false,OK,
B6 379,DCA,FLL,09/03/2025 7:00am,09/03/2025 9:35am,155,$90,https://www.jetblue.com/booking/flights?from=DCA&to=FLL&depart=09%2F03%2F2025&isMultiCity=false&noOfRoute=1&adults=1&children=0&infants=0&sharedMarket=false&roundTripFaresFlag=false&usePoints=false,OK,
B6 579,DCA,FLL,09/03/2025 11:00am,09/03/2025 1:33pm,153,$90,https://www.jetblue.com/booking/flights?from=DCA&to=FLL&depart=09%2F03%2F2025&isMultiCity=false&noOfRoute=1&adults=1&children=0&infants=0&sharedMarket=false&roundTripFaresFlag=false&usePoints=false,OK,
B6 1979,DCA,FLL,09/03/2025 8:15pm,09/03/2025 10:55pm,160,$90,https://www.jetblue.com/booking/flights?from=DCA&to=FLL&depart=09%2F03%2F2025&isMultiCity=false&noOfRoute=1&adults=1&children=0&infants=0&sharedMarket=false&roundTripFaresFlag=false&usePoints=false,OK,
B6 1079,BOS,EDI,09/03/2025 10:58pm,09/03/2025 10:10am,372,$858,https://www.jetblue.com/booking/flights?from=BOS&to=EDI&depart=09%2F03%2F2025&isMultiCity=false&noOfRoute=1&adults=1&children=0&infants=0&sharedMarket=false&roundTripFaresFlag=false&usePoints=false,OK,
B6 1923,DCA,MCO,09/03/2025 10:05am,09/03/2025 12:29pm,144,$90,https://www.jetblue.com/booking/flights?from=DCA&to=MCO&depart=09%2F03%2F2025&isMultiCity=false&noOfRoute=1&adults=1&children=0&infants=0&sharedMarket=false&roundTripFaresFlag=false&usePoints=false,OK,
B6 2423,DCA,MCO,09/03/2025 4:00pm,09/03/2025 6:25pm,145,$90,https://www.jetblue.com/booking/flights?from=DCA&to=MCO&depart=09%2F03%2F2025&isMultiCity=false&noOfRoute=1&adults=1&children=0&infants=0&sharedMarket=false&roundTripFaresFlag=false&usePoints=false,OK,
B6 1678,JAX,JFK,09/03/2025 6:25am,09/03/2025 8:46am,141,$164,https://www.jetblue.com/booking/flights?from=JAX&to=JFK&depart=09%2F03%2F2025&isMultiCity=false&noOfRoute=1&adults=1&children=0&infants=0&sharedMarket=false&roundTripFaresFlag=false&usePoints=false,OK,
B6 2678,JAX,JFK,09/03/2025 11:30am,09/03/2025 1:47pm,137,$164,https://www.jetblue.com/booking/flights?from=JAX&to=JFK&depart=09%2F03%2F2025&isMultiCity=false&noOfRoute=1&adults=1&children=0&infants=0&sharedMarket=false&roundTripFaresFlag=false&usePoints=false,OK,
B6 678,JAX,JFK,09/03/2025 5:13pm,09/03/2025 7:30pm,137,$199,https://www.jetblue.com/booking/flights?from=JAX&to=JFK&depart=09%2F03%2F2025&isMultiCity=false&noOfRoute=1&adults=1&children=0&infants=0&sharedMarket=false&roundTripFaresFlag=false&usePoints=false,OK,
