Origin,Destination,Departure Date,Flight Number,Departure Time,Arrival Time,Duration,Price,Stops,Route Type
B6 394,DEN,BOS,09/09/2025 2:10pm,09/09/2025 8:29pm,259,$99,https://www.jetblue.com/booking/flights?from=DEN&to=BOS&depart=09%2F09%2F2025&isMultiCity=false&noOfRoute=1&adults=1&children=0&infants=0&sharedMarket=false&roundTripFaresFlag=false&usePoints=false,OK,
B6 1347,DCA,SJU,09/09/2025 8:25am,09/09/2025 12:15pm,230,$99,https://www.jetblue.com/booking/flights?from=DCA&to=SJU&depart=09%2F09%2F2025&isMultiCity=false&noOfRoute=1&adults=1&children=0&infants=0&sharedMarket=false&roundTripFaresFlag=false&usePoints=false,OK,
B6 23,DCA,PBI,09/09/2025 6:58pm,09/09/2025 9:23pm,145,$79,https://www.jetblue.com/booking/flights?from=DCA&to=PBI&depart=09%2F09%2F2025&isMultiCity=false&noOfRoute=1&adults=1&children=0&infants=0&sharedMarket=false&roundTripFaresFlag=false&usePoints=false,OK,
B6 254,DCA,JFK,09/09/2025 6:19am,09/09/2025 7:30am,71,$59,https://www.jetblue.com/booking/flights?from=DCA&to=JFK&depart=09%2F09%2F2025&isMultiCity=false&noOfRoute=1&adults=1&children=0&infants=0&sharedMarket=false&roundTripFaresFlag=false&usePoints=false,OK,
B6 1254,DCA,JFK,09/09/2025 5:42pm,09/09/2025 6:59pm,77,$59,https://www.jetblue.com/booking/flights?from=DCA&to=JFK&depart=09%2F09%2F2025&isMultiCity=false&noOfRoute=1&adults=1&children=0&infants=0&sharedMarket=false&roundTripFaresFlag=false&usePoints=false,OK,
B6 1553,FLL,SJU,09/09/2025 11:10am,09/09/2025 1:54pm,164,$135,https://www.jetblue.com/booking/flights?from=FLL&to=SJU&depart=09%2F09%2F2025&isMultiCity=false&noOfRoute=1&adults=1&children=0&infants=0&sharedMarket=false&roundTripFaresFlag=false&usePoints=false,OK,
B6 1453,FLL,SJU,09/09/2025 5:40pm,09/09/2025 8:20pm,160,$135,https://www.jetblue.com/booking/flights?from=FLL&to=SJU&depart=09%2F09%2F2025&isMultiCity=false&noOfRoute=1&adults=1&children=0&infants=0&sharedMarket=false&roundTripFaresFlag=false&usePoints=false,OK,
B6 1419,DTW,JFK,09/09/2025 6:12am,09/09/2025 7:59am,107,$64,https://www.jetblue.com/booking/flights?from=DTW&to=JFK&depart=09%2F09%2F2025&isMultiCity=false&noOfRoute=1&adults=1&children=0&infants=0&sharedMarket=false&roundTripFaresFlag=false&usePoints=false,OK,
B6 193,EWR,STI,09/09/2025 5:55pm,09/09/2025 9:45pm,230,$159,https://www.jetblue.com/booking/flights?from=EWR&to=STI&depart=09%2F09%2F2025&isMultiCity=false&noOfRoute=1&adults=1&children=0&infants=0&sharedMarket=false&roundTripFaresFlag=false&usePoints=false,OK,
B6 1923,DCA,MCO,09/09/2025 10:05am,09/09/2025 12:31pm,146,$64,https://www.jetblue.com/booking/flights?from=DCA&to=MCO&depart=09%2F09%2F2025&isMultiCity=false&noOfRoute=1&adults=1&children=0&infants=0&sharedMarket=false&roundTripFaresFlag=false&usePoints=false,OK,
B6 2423,DCA,MCO,09/09/2025 4:00pm,09/09/2025 6:25pm,145,$64,https://www.jetblue.com/booking/flights?from=DCA&to=MCO&depart=09%2F09%2F2025&isMultiCity=false&noOfRoute=1&adults=1&children=0&infants=0&sharedMarket=false&roundTripFaresFlag=false&usePoints=false,OK,
B6 2795,FLL,CUN,09/09/2025 11:00am,09/09/2025 11:56am,116,$114,https://www.jetblue.com/booking/flights?from=FLL&to=CUN&depart=09%2F09%2F2025&isMultiCity=false&noOfRoute=1&adults=1&children=0&infants=0&sharedMarket=false&roundTripFaresFlag=false&usePoints=false,OK,
B6 690,FLL,BOS,09/09/2025 8:00am,09/09/2025 11:17am,197,$59,https://www.jetblue.com/booking/flights?from=FLL&to=BOS&depart=09%2F09%2F2025&isMultiCity=false&noOfRoute=1&adults=1&children=0&infants=0&sharedMarket=false&roundTripFaresFlag=false&usePoints=false,OK,
B6 70,FLL,BOS,09/09/2025 1:25pm,09/09/2025 5:13pm,228,$59,https://www.jetblue.com/booking/flights?from=FLL&to=BOS&depart=09%2F09%2F2025&isMultiCity=false&noOfRoute=1&adults=1&children=0&infants=0&sharedMarket=false&roundTripFaresFlag=false&usePoints=false,OK,
B6 470,FLL,BOS,09/09/2025 8:45pm,09/09/2025 11:59pm,194,$59,https://www.jetblue.com/booking/flights?from=FLL&to=BOS&depart=09%2F09%2F2025&isMultiCity=false&noOfRoute=1&adults=1&children=0&infants=0&sharedMarket=false&roundTripFaresFlag=false&usePoints=false,OK,
B6 377,FLL,SFO,09/09/2025 7:15am,09/09/2025 10:18am,363,$109,https://www.jetblue.com/booking/flights?from=FLL&to=SFO&depart=09%2F09%2F2025&isMultiCity=false&noOfRoute=1&adults=1&children=0&infants=0&sharedMarket=false&roundTripFaresFlag=false&usePoints=false,OK,
B6 277,FLL,SFO,09/09/2025 8:00pm,09/09/2025 11:10pm,370,$109,https://www.jetblue.com/booking/flights?from=FLL&to=SFO&depart=09%2F09%2F2025&isMultiCity=false&noOfRoute=1&adults=1&children=0&infants=0&sharedMarket=false&roundTripFaresFlag=false&usePoints=false,OK,
B6 2549,FLL,SDQ,09/09/2025 11:00am,09/09/2025 1:24pm,144,$129,https://www.jetblue.com/booking/flights?from=FLL&to=SDQ&depart=09%2F09%2F2025&isMultiCity=false&noOfRoute=1&adults=1&children=0&infants=0&sharedMarket=false&roundTripFaresFlag=false&usePoints=false,OK,
B6 2626,FLL,RDU,09/09/2025 8:00pm,09/09/2025 10:12pm,132,$59,https://www.jetblue.com/booking/flights?from=FLL&to=RDU&depart=09%2F09%2F2025&isMultiCity=false&noOfRoute=1&adults=1&children=0&infants=0&sharedMarket=false&roundTripFaresFlag=false&usePoints=false,OK,
B6 273,FLL,PUJ,09/09/2025 11:20am,09/09/2025 1:55pm,155,$129,https://www.jetblue.com/booking/flights?from=FLL&to=PUJ&depart=09%2F09%2F2025&isMultiCity=false&noOfRoute=1&adults=1&children=0&infants=0&sharedMarket=false&roundTripFaresFlag=false&usePoints=false,OK,
B6 2016,FLL,PHL,09/09/2025 8:00am,09/09/2025 10:50am,170,$79,https://www.jetblue.com/booking/flights?from=FLL&to=PHL&depart=09%2F09%2F2025&isMultiCity=false&noOfRoute=1&adults=1&children=0&infants=0&sharedMarket=false&roundTripFaresFlag=false&usePoints=false,OK,
B6 41,FLL,MDE,09/09/2025 11:30am,09/09/2025 2:05pm,215,$109,https://www.jetblue.com/booking/flights?from=FLL&to=MDE&depart=09%2F09%2F2025&isMultiCity=false&noOfRoute=1&adults=1&children=0&infants=0&sharedMarket=false&roundTripFaresFlag=false&usePoints=false,OK,
B6 2427,FLL,MBJ,09/09/2025 9:55am,09/09/2025 10:40am,105,$109,https://www.jetblue.com/booking/flights?from=FLL&to=MBJ&depart=09%2F09%2F2025&isMultiCity=false&noOfRoute=1&adults=1&children=0&infants=0&sharedMarket=false&roundTripFaresFlag=false&usePoints=false,OK,
B6 827,FLL,MBJ,09/09/2025 1:20pm,09/09/2025 2:08pm,108,$137,https://www.jetblue.com/booking/flights?from=FLL&to=MBJ&depart=09%2F09%2F2025&isMultiCity=false&noOfRoute=1&adults=1&children=0&infants=0&sharedMarket=false&roundTripFaresFlag=false&usePoints=false,OK,
B6 172,FLL,LGA,09/09/2025 9:45am,09/09/2025 12:38pm,173,$59,https://www.jetblue.com/booking/flights?from=FLL&to=LGA&depart=09%2F09%2F2025&isMultiCity=false&noOfRoute=1&adults=1&children=0&infants=0&sharedMarket=false&roundTripFaresFlag=false&usePoints=false,OK,
B6 272,FLL,LGA,09/09/2025 12:04pm,09/09/2025 3:00pm,176,$59,https://www.jetblue.com/booking/flights?from=FLL&to=LGA&depart=09%2F09%2F2025&isMultiCity=false&noOfRoute=1&adults=1&children=0&infants=0&sharedMarket=false&roundTripFaresFlag=false&usePoints=false,OK,
B6 472,FLL,LGA,09/09/2025 5:05pm,09/09/2025 8:00pm,175,$59,https://www.jetblue.com/booking/flights?from=FLL&to=LGA&depart=09%2F09%2F2025&isMultiCity=false&noOfRoute=1&adults=1&children=0&infants=0&sharedMarket=false&roundTripFaresFlag=false&usePoints=false,OK,
B6 1393,FLL,NAS,09/09/2025 11:00am,09/09/2025 12:10pm,70,$74,https://www.jetblue.com/booking/flights?from=FLL&to=NAS&depart=09%2F09%2F2025&isMultiCity=false&noOfRoute=1&adults=1&children=0&infants=0&sharedMarket=false&roundTripFaresFlag=false&usePoints=false,OK,
B6 607,FLL,LAS,09/09/2025 8:30pm,09/09/2025 10:49pm,319,$79,https://www.jetblue.com/booking/flights?from=FLL&to=LAS&depart=09%2F09%2F2025&isMultiCity=false&noOfRoute=1&adults=1&children=0&infants=0&sharedMarket=false&roundTripFaresFlag=false&usePoints=false,OK,
B6 1675,FLL,KIN,09/09/2025 11:25am,09/09/2025 12:20pm,115,$176,https://www.jetblue.com/booking/flights?from=FLL&to=KIN&depart=09%2F09%2F2025&isMultiCity=false&noOfRoute=1&adults=1&children=0&infants=0&sharedMarket=false&roundTripFaresFlag=false&usePoints=false,OK,
B6 1302,FLL,JFK,09/09/2025 6:07am,09/09/2025 8:59am,172,$59,https://www.jetblue.com/booking/flights?from=FLL&to=JFK&depart=09%2F09%2F2025&isMultiCity=false&noOfRoute=1&adults=1&children=0&infants=0&sharedMarket=false&roundTripFaresFlag=false&usePoints=false,OK,
B6 1902,FLL,JFK,09/09/2025 11:10am,09/09/2025 2:10pm,180,$59,https://www.jetblue.com/booking/flights?from=FLL&to=JFK&depart=09%2F09%2F2025&isMultiCity=false&noOfRoute=1&adults=1&children=0&infants=0&sharedMarket=false&roundTripFaresFlag=false&usePoints=false,OK,
B6 602,FLL,JFK,09/09/2025 6:00pm,09/09/2025 9:06pm,186,$59,https://www.jetblue.com/booking/flights?from=FLL&to=JFK&depart=09%2F09%2F2025&isMultiCity=false&noOfRoute=1&adults=1&children=0&infants=0&sharedMarket=false&roundTripFaresFlag=false&usePoints=false,OK,
B6 2102,FLL,JFK,09/09/2025 8:59pm,09/09/2025 11:55pm,176,$59,https://www.jetblue.com/booking/flights?from=FLL&to=JFK&depart=09%2F09%2F2025&isMultiCity=false&noOfRoute=1&adults=1&children=0&infants=0&sharedMarket=false&roundTripFaresFlag=false&usePoints=false,OK,
B6 814,FLL,HPN,09/09/2025 7:05am,09/09/2025 10:06am,181,$79,https://www.jetblue.com/booking/flights?from=FLL&to=HPN&depart=09%2F09%2F2025&isMultiCity=false&noOfRoute=1&adults=1&children=0&infants=0&sharedMarket=false&roundTripFaresFlag=false&usePoints=false,OK,
B6 1255,FLL,GYE,09/09/2025 10:10am,09/09/2025 1:30pm,260,$128,https://www.jetblue.com/booking/flights?from=FLL&to=GYE&depart=09%2F09%2F2025&isMultiCity=false&noOfRoute=1&adults=1&children=0&infants=0&sharedMarket=false&roundTripFaresFlag=false&usePoints=false,OK,
B6 806,FLL,EWR,09/09/2025 1:25pm,09/09/2025 4:24pm,179,$69,https://www.jetblue.com/booking/flights?from=FLL&to=EWR&depart=09%2F09%2F2025&isMultiCity=false&noOfRoute=1&adults=1&children=0&infants=0&sharedMarket=false&roundTripFaresFlag=false&usePoints=false,OK,
B6 1480,FLL,DCA,09/09/2025 10:00am,09/09/2025 12:25pm,145,$74,https://www.jetblue.com/booking/flights?from=FLL&to=DCA&depart=09%2F09%2F2025&isMultiCity=false&noOfRoute=1&adults=1&children=0&infants=0&sharedMarket=false&roundTripFaresFlag=false&usePoints=false,OK,
B6 2080,FLL,DCA,09/09/2025 6:20pm,09/09/2025 8:54pm,154,$74,https://www.jetblue.com/booking/flights?from=FLL&to=DCA&depart=09%2F09%2F2025&isMultiCity=false&noOfRoute=1&adults=1&children=0&infants=0&sharedMarket=false&roundTripFaresFlag=false&usePoints=false,OK,
B6 1201,FLL,LAX,09/09/2025 7:00am,09/09/2025 9:35am,335,$109,https://www.jetblue.com/booking/flights?from=FLL&to=LAX&depart=09%2F09%2F2025&isMultiCity=false&noOfRoute=1&adults=1&children=0&infants=0&sharedMarket=false&roundTripFaresFlag=false&usePoints=false,OK,
B6 2801,FLL,LAX,09/09/2025 10:15am,09/09/2025 12:45pm,330,$109,https://www.jetblue.com/booking/flights?from=FLL&to=LAX&depart=09%2F09%2F2025&isMultiCity=false&noOfRoute=1&adults=1&children=0&infants=0&sharedMarket=false&roundTripFaresFlag=false&usePoints=false,OK,
B6 101,FLL,LAX,09/09/2025 5:37pm,09/09/2025 8:10pm,333,$149,https://www.jetblue.com/booking/flights?from=FLL&to=LAX&depart=09%2F09%2F2025&isMultiCity=false&noOfRoute=1&adults=1&children=0&infants=0&sharedMarket=false&roundTripFaresFlag=false&usePoints=false,OK,
B6 2501,FLL,LAX,09/09/2025 8:29pm,09/09/2025 11:02pm,333,$149,https://www.jetblue.com/booking/flights?from=FLL&to=LAX&depart=09%2F09%2F2025&isMultiCity=false&noOfRoute=1&adults=1&children=0&infants=0&sharedMarket=false&roundTripFaresFlag=false&usePoints=false,OK,
B6 2126,MBJ,FLL,09/10/2025 11:45am,09/10/2025 2:32pm,107,$154,https://www.jetblue.com/booking/flights?from=MBJ&to=FLL&depart=09%2F10%2F2025&isMultiCity=false&noOfRoute=1&adults=1&children=0&infants=0&sharedMarket=false&roundTripFaresFlag=false&usePoints=false,OK,
B6 826,MBJ,FLL,09/10/2025 3:13pm,09/10/2025 5:59pm,106,$154,https://www.jetblue.com/booking/flights?from=MBJ&to=FLL&depart=09%2F10%2F2025&isMultiCity=false&noOfRoute=1&adults=1&children=0&infants=0&sharedMarket=false&roundTripFaresFlag=false&usePoints=false,OK,
B6 730,MCO,BQN,09/10/2025 4:25pm,09/10/2025 7:13pm,168,$256,https://www.jetblue.com/booking/flights?from=MCO&to=BQN&depart=09%2F10%2F2025&isMultiCity=false&noOfRoute=1&adults=1&children=0&infants=0&sharedMarket=false&roundTripFaresFlag=false&usePoints=false,OK,
B6 552,MCO,BOS,09/10/2025 7:40am,09/10/2025 10:40am,180,$89,https://www.jetblue.com/booking/flights?from=MCO&to=BOS&depart=09%2F10%2F2025&isMultiCity=false&noOfRoute=1&adults=1&children=0&infants=0&sharedMarket=false&roundTripFaresFlag=false&usePoints=false,OK,
B6 1452,MCO,BOS,09/10/2025 9:14am,09/10/2025 12:17pm,183,$89,https://www.jetblue.com/booking/flights?from=MCO&to=BOS&depart=09%2F10%2F2025&isMultiCity=false&noOfRoute=1&adults=1&children=0&infants=0&sharedMarket=false&roundTripFaresFlag=false&usePoints=false,OK,
B6 652,MCO,BOS,09/10/2025 12:20pm,09/10/2025 3:54pm,214,$89,https://www.jetblue.com/booking/flights?from=MCO&to=BOS&depart=09%2F10%2F2025&isMultiCity=false&noOfRoute=1&adults=1&children=0&infants=0&sharedMarket=false&roundTripFaresFlag=false&usePoints=false,OK,
B6 2052,MCO,BOS,09/10/2025 3:00pm,09/10/2025 6:23pm,203,$116,https://www.jetblue.com/booking/flights?from=MCO&to=BOS&depart=09%2F10%2F2025&isMultiCity=false&noOfRoute=1&adults=1&children=0&infants=0&sharedMarket=false&roundTripFaresFlag=false&usePoints=false,OK,
B6 1152,MCO,BOS,09/10/2025 5:20pm,09/10/2025 8:31pm,191,$133,https://www.jetblue.com/booking/flights?from=MCO&to=BOS&depart=09%2F10%2F2025&isMultiCity=false&noOfRoute=1&adults=1&children=0&infants=0&sharedMarket=false&roundTripFaresFlag=false&usePoints=false,OK,
B6 138,MCO,BDL,09/10/2025 2:19pm,09/10/2025 5:13pm,174,$124,https://www.jetblue.com/booking/flights?from=MCO&to=BDL&depart=09%2F10%2F2025&isMultiCity=false&noOfRoute=1&adults=1&children=0&infants=0&sharedMarket=false&roundTripFaresFlag=false&usePoints=false,OK,
B6 119,MCO,ALB,09/10/2025 6:00pm,09/10/2025 8:47pm,167,$74,https://www.jetblue.com/booking/flights?from=MCO&to=ALB&depart=09%2F10%2F2025&isMultiCity=false&noOfRoute=1&adults=1&children=0&infants=0&sharedMarket=false&roundTripFaresFlag=false&usePoints=false,OK,
B6 522,MBJ,MCO,09/10/2025 1:13pm,09/10/2025 4:22pm,129,$169,https://www.jetblue.com/booking/flights?from=MBJ&to=MCO&depart=09%2F10%2F2025&isMultiCity=false&noOfRoute=1&adults=1&children=0&infants=0&sharedMarket=false&roundTripFaresFlag=false&usePoints=false,OK,
B6 780,MBJ,JFK,09/10/2025 1:09pm,09/10/2025 6:00pm,231,$247,https://www.jetblue.com/booking/flights?from=MBJ&to=JFK&depart=09%2F10%2F2025&isMultiCity=false&noOfRoute=1&adults=1&children=0&infants=0&sharedMarket=false&roundTripFaresFlag=false&usePoints=false,OK,
B6 580,MBJ,JFK,09/10/2025 4:39pm,09/10/2025 9:30pm,231,$247,https://www.jetblue.com/booking/flights?from=MBJ&to=JFK&depart=09%2F10%2F2025&isMultiCity=false&noOfRoute=1&adults=1&children=0&infants=0&sharedMarket=false&roundTripFaresFlag=false&usePoints=false,OK,
B6 2260,MAD,BOS,09/10/2025 1:30pm,09/10/2025 3:38pm,488,$522,https://www.jetblue.com/booking/flights?from=MAD&to=BOS&depart=09%2F10%2F2025&isMultiCity=false&noOfRoute=1&adults=1&children=0&infants=0&sharedMarket=false&roundTripFaresFlag=false&usePoints=false,OK,
B6 124,LAX,JFK,09/10/2025 7:30am,09/10/2025 4:03pm,333,$314,https://www.jetblue.com/booking/flights?from=LAX&to=JFK&depart=09%2F10%2F2025&isMultiCity=false&noOfRoute=1&adults=1&children=0&infants=0&sharedMarket=false&roundTripFaresFlag=false&usePoints=false,OK,
B6 424,LAX,JFK,09/10/2025 10:05am,09/10/2025 6:36pm,331,$414,https://www.jetblue.com/booking/flights?from=LAX&to=JFK&depart=09%2F10%2F2025&isMultiCity=false&noOfRoute=1&adults=1&children=0&infants=0&sharedMarket=false&roundTripFaresFlag=false&usePoints=false,OK,
B6 524,LAX,JFK,09/10/2025 11:24am,09/10/2025 7:59pm,335,$234,https://www.jetblue.com/booking/flights?from=LAX&to=JFK&depart=09%2F10%2F2025&isMultiCity=false&noOfRoute=1&adults=1&children=0&infants=0&sharedMarket=false&roundTripFaresFlag=false&usePoints=false,OK,
B6 324,LAX,JFK,09/10/2025 12:25pm,09/10/2025 9:00pm,335,$204,https://www.jetblue.com/booking/flights?from=LAX&to=JFK&depart=09%2F10%2F2025&isMultiCity=false&noOfRoute=1&adults=1&children=0&infants=0&sharedMarket=false&roundTripFaresFlag=false&usePoints=false,OK,
B6 224,LAX,JFK,09/10/2025 1:25pm,09/10/2025 10:00pm,335,$119,https://www.jetblue.com/booking/flights?from=LAX&to=JFK&depart=09%2F10%2F2025&isMultiCity=false&noOfRoute=1&adults=1&children=0&infants=0&sharedMarket=false&roundTripFaresFlag=false&usePoints=false,OK,
B6 924,LAX,JFK,09/10/2025 2:25pm,09/10/2025 11:00pm,335,$204,https://www.jetblue.com/booking/flights?from=LAX&to=JFK&depart=09%2F10%2F2025&isMultiCity=false&noOfRoute=1&adults=1&children=0&infants=0&sharedMarket=false&roundTripFaresFlag=false&usePoints=false,OK,
B6 1524,LAX,JFK,09/10/2025 8:35pm,09/10/2025 5:00am,325,$269,https://www.jetblue.com/booking/flights?from=LAX&to=JFK&depart=09%2F10%2F2025&isMultiCity=false&noOfRoute=1&adults=1&children=0&infants=0&sharedMarket=false&roundTripFaresFlag=false&usePoints=false,OK,
B6 1024,LAX,JFK,09/10/2025 10:29pm,09/10/2025 7:00am,331,$234,https://www.jetblue.com/booking/flights?from=LAX&to=JFK&depart=09%2F10%2F2025&isMultiCity=false&noOfRoute=1&adults=1&children=0&infants=0&sharedMarket=false&roundTripFaresFlag=false&usePoints=false,OK,
B6 1224,LAX,JFK,09/10/2025 11:59pm,09/10/2025 8:30am,331,$234,https://www.jetblue.com/booking/flights?from=LAX&to=JFK&depart=09%2F10%2F2025&isMultiCity=false&noOfRoute=1&adults=1&children=0&infants=0&sharedMarket=false&roundTripFaresFlag=false&usePoints=false,OK,
B6 1247,LGA,TPA,09/10/2025 9:50am,09/10/2025 12:54pm,184,$59,https://www.jetblue.com/booking/flights?from=LGA&to=TPA&depart=09%2F10%2F2025&isMultiCity=false&noOfRoute=1&adults=1&children=0&infants=0&sharedMarket=false&roundTripFaresFlag=false&usePoints=false,OK,
B6 1461,LGA,PBI,09/10/2025 7:59am,09/10/2025 10:55am,176,$69,https://www.jetblue.com/booking/flights?from=LGA&to=PBI&depart=09%2F10%2F2025&isMultiCity=false&noOfRoute=1&adults=1&children=0&infants=0&sharedMarket=false&roundTripFaresFlag=false&usePoints=false,OK,
B6 599,LGA,MCO,09/10/2025 6:30am,09/10/2025 9:20am,170,$59,https://www.jetblue.com/booking/flights?from=LGA&to=MCO&depart=09%2F10%2F2025&isMultiCity=false&noOfRoute=1&adults=1&children=0&infants=0&sharedMarket=false&roundTripFaresFlag=false&usePoints=false,OK,
B6 499,LGA,MCO,09/10/2025 10:59am,09/10/2025 1:58pm,179,$59,https://www.jetblue.com/booking/flights?from=LGA&to=MCO&depart=09%2F10%2F2025&isMultiCity=false&noOfRoute=1&adults=1&children=0&infants=0&sharedMarket=false&roundTripFaresFlag=false&usePoints=false,OK,
B6 399,LGA,MCO,09/10/2025 2:57pm,09/10/2025 6:05pm,188,$59,https://www.jetblue.com/booking/flights?from=LGA&to=MCO&depart=09%2F10%2F2025&isMultiCity=false&noOfRoute=1&adults=1&children=0&infants=0&sharedMarket=false&roundTripFaresFlag=false&usePoints=false,OK,
B6 1471,LGA,FLL,09/10/2025 7:00am,09/10/2025 10:00am,180,$59,https://www.jetblue.com/booking/flights?from=LGA&to=FLL&depart=09%2F10%2F2025&isMultiCity=false&noOfRoute=1&adults=1&children=0&infants=0&sharedMarket=false&roundTripFaresFlag=false&usePoints=false,OK,
B6 1371,LGA,FLL,09/10/2025 1:30pm,09/10/2025 4:42pm,192,$59,https://www.jetblue.com/booking/flights?from=LGA&to=FLL&depart=09%2F10%2F2025&isMultiCity=false&noOfRoute=1&adults=1&children=0&infants=0&sharedMarket=false&roundTripFaresFlag=false&usePoints=false,OK,
B6 471,LGA,FLL,09/10/2025 3:50pm,09/10/2025 7:07pm,197,$59,https://www.jetblue.com/booking/flights?from=LGA&to=FLL&depart=09%2F10%2F2025&isMultiCity=false&noOfRoute=1&adults=1&children=0&infants=0&sharedMarket=false&roundTripFaresFlag=false&usePoints=false,OK,
B6 300,MSY,BOS,09/10/2025 12:21pm,09/10/2025 5:14pm,233,$79,https://www.jetblue.com/booking/flights?from=MSY&to=BOS&depart=09%2F10%2F2025&isMultiCity=false&noOfRoute=1&adults=1&children=0&infants=0&sharedMarket=false&roundTripFaresFlag=false&usePoints=false,OK,
B6 1700,LAX,FLL,09/10/2025 8:20am,09/10/2025 4:27pm,307,$149,https://www.jetblue.com/booking/flights?from=LAX&to=FLL&depart=09%2F10%2F2025&isMultiCity=false&noOfRoute=1&adults=1&children=0&infants=0&sharedMarket=false&roundTripFaresFlag=false&usePoints=false,OK,
B6 100,LAX,FLL,09/10/2025 11:20am,09/10/2025 7:27pm,307,$149,https://www.jetblue.com/booking/flights?from=LAX&to=FLL&depart=09%2F10%2F2025&isMultiCity=false&noOfRoute=1&adults=1&children=0&infants=0&sharedMarket=false&roundTripFaresFlag=false&usePoints=false,OK,
B6 1200,LAX,FLL,09/10/2025 1:55pm,09/10/2025 10:02pm,307,$124,https://www.jetblue.com/booking/flights?from=LAX&to=FLL&depart=09%2F10%2F2025&isMultiCity=false&noOfRoute=1&adults=1&children=0&infants=0&sharedMarket=false&roundTripFaresFlag=false&usePoints=false,OK,
B6 700,LAX,FLL,09/10/2025 9:22pm,09/10/2025 5:25am,303,$109,https://www.jetblue.com/booking/flights?from=LAX&to=FLL&depart=09%2F10%2F2025&isMultiCity=false&noOfRoute=1&adults=1&children=0&infants=0&sharedMarket=false&roundTripFaresFlag=false&usePoints=false,OK,
B6 1586,MCO,BUF,09/10/2025 6:30pm,09/10/2025 9:07pm,157,$74,https://www.jetblue.com/booking/flights?from=MCO&to=BUF&depart=09%2F10%2F2025&isMultiCity=false&noOfRoute=1&adults=1&children=0&infants=0&sharedMarket=false&roundTripFaresFlag=false&usePoints=false,OK,
B6 767,MCO,PSE,09/10/2025 7:59pm,09/10/2025 10:56pm,177,$139,https://www.jetblue.com/booking/flights?from=MCO&to=PSE&depart=09%2F10%2F2025&isMultiCity=false&noOfRoute=1&adults=1&children=0&infants=0&sharedMarket=false&roundTripFaresFlag=false&usePoints=false,OK,
B6 2324,MCO,DCA,09/10/2025 11:19am,09/10/2025 1:28pm,129,$64,https://www.jetblue.com/booking/flights?from=MCO&to=DCA&depart=09%2F10%2F2025&isMultiCity=false&noOfRoute=1&adults=1&children=0&infants=0&sharedMarket=false&roundTripFaresFlag=false&usePoints=false,OK,
B6 2424,MCO,DCA,09/10/2025 4:03pm,09/10/2025 6:16pm,133,$64,https://www.jetblue.com/booking/flights?from=MCO&to=DCA&depart=09%2F10%2F2025&isMultiCity=false&noOfRoute=1&adults=1&children=0&infants=0&sharedMarket=false&roundTripFaresFlag=false&usePoints=false,OK,
B6 1143,MHT,MCO,09/10/2025 2:00pm,09/10/2025 5:05pm,185,$74,https://www.jetblue.com/booking/flights?from=MHT&to=MCO&depart=09%2F10%2F2025&isMultiCity=false&noOfRoute=1&adults=1&children=0&infants=0&sharedMarket=false&roundTripFaresFlag=false&usePoints=false,OK,
B6 2074,LAX,EWR,09/10/2025 7:30am,09/10/2025 3:59pm,329,$194,https://www.jetblue.com/booking/flights?from=LAX&to=EWR&depart=09%2F10%2F2025&isMultiCity=false&noOfRoute=1&adults=1&children=0&infants=0&sharedMarket=false&roundTripFaresFlag=false&usePoints=false,OK,
B6 1574,LAX,EWR,09/10/2025 10:30pm,09/10/2025 6:54am,324,$119,https://www.jetblue.com/booking/flights?from=LAX&to=EWR&depart=09%2F10%2F2025&isMultiCity=false&noOfRoute=1&adults=1&children=0&infants=0&sharedMarket=false&roundTripFaresFlag=false&usePoints=false,OK,
B6 1704,MDE,SJU,09/10/2025 3:10pm,09/10/2025 7:12pm,182,$193,https://www.jetblue.com/booking/flights?from=MDE&to=SJU&depart=09%2F10%2F2025&isMultiCity=false&noOfRoute=1&adults=1&children=0&infants=0&sharedMarket=false&roundTripFaresFlag=false&usePoints=false,OK,
B6 40,MDE,FLL,09/10/2025 1:30pm,09/10/2025 6:08pm,218,$195,https://www.jetblue.com/booking/flights?from=MDE&to=FLL&depart=09%2F10%2F2025&isMultiCity=false&noOfRoute=1&adults=1&children=0&infants=0&sharedMarket=false&roundTripFaresFlag=false&usePoints=false,OK,
B6 656,MCO,SYR,09/10/2025 12:05pm,09/10/2025 2:55pm,170,$99,https://www.jetblue.com/booking/flights?from=MCO&to=SYR&depart=09%2F10%2F2025&isMultiCity=false&noOfRoute=1&adults=1&children=0&infants=0&sharedMarket=false&roundTripFaresFlag=false&usePoints=false,OK,
B6 2265,MCO,STI,09/10/2025 6:30am,09/10/2025 8:59am,149,$149,https://www.jetblue.com/booking/flights?from=MCO&to=STI&depart=09%2F10%2F2025&isMultiCity=false&noOfRoute=1&adults=1&children=0&infants=0&sharedMarket=false&roundTripFaresFlag=false&usePoints=false,OK,
B6 2133,MCO,SJU,09/10/2025 6:15am,09/10/2025 9:09am,174,$230,https://www.jetblue.com/booking/flights?from=MCO&to=SJU&depart=09%2F10%2F2025&isMultiCity=false&noOfRoute=1&adults=1&children=0&infants=0&sharedMarket=false&roundTripFaresFlag=false&usePoints=false,OK,
