Origin,Destination,Departure Date,Flight Number,Departure Time,Arrival Time,Duration,Price,Stops,Route Type,Distance (MI)
"IAH","BOS","09/02/2025 12:23pm","B6 632","09/02/2025 5:20pm","237","$230","https://www.jetblue.com/booking/cb-flights?from=IAH&to=BOS&depart=09%2F02%2F2025&isMultiCity=false&noOfRoute=1&adults=1&children=0&infants=0&sharedMarket=false&roundTripFaresFlag=false&usePoints=false","OK","","1595"
"IAH","BOS","09/02/2025 4:57pm","B6 932","09/02/2025 9:50pm","233","$230","https://www.jetblue.com/booking/cb-flights?from=IAH&to=BOS&depart=09%2F02%2F2025&isMultiCity=false&noOfRoute=1&adults=1&children=0&infants=0&sharedMarket=false&roundTripFaresFlag=false&usePoints=false","OK","","1595"
"HYA","JFK","09/02/2025 5:15pm","B6 1963","09/02/2025 6:30pm","75","$302","https://www.jetblue.com/booking/cb-flights?from=HYA&to=JFK&depart=09%2F02%2F2025&isMultiCity=false&noOfRoute=1&adults=1&children=0&infants=0&sharedMarket=false&roundTripFaresFlag=false&usePoints=false","OK","","195"
"JFK","ANU","09/02/2025 10:45am","B6 743","09/02/2025 3:04pm","259","$438","https://www.jetblue.com/booking/cb-flights?from=JFK&to=ANU&depart=09%2F02%2F2025&isMultiCity=false&noOfRoute=1&adults=1&children=0&infants=0&sharedMarket=false&roundTripFaresFlag=false&usePoints=false","OK","","1774"
"HPN","TPA","09/02/2025 7:30am","B6 1447","09/02/2025 10:17am","167","$195","https://www.jetblue.com/booking/cb-flights?from=HPN&to=TPA&depart=09%2F02%2F2025&isMultiCity=false&noOfRoute=1&adults=1&children=0&infants=0&sharedMarket=false&roundTripFaresFlag=false&usePoints=false","OK","","1033"
"HPN","RSW","09/02/2025 7:00am","B6 1551","09/02/2025 9:56am","176","$159","https://www.jetblue.com/booking/cb-flights?from=HPN&to=RSW&depart=09%2F02%2F2025&isMultiCity=false&noOfRoute=1&adults=1&children=0&infants=0&sharedMarket=false&roundTripFaresFlag=false&usePoints=false","OK","","1104"
"HPN","RSW","09/02/2025 1:00pm","B6 1251","09/02/2025 4:00pm","180","$159","https://www.jetblue.com/booking/cb-flights?from=HPN&to=RSW&depart=09%2F02%2F2025&isMultiCity=false&noOfRoute=1&adults=1&children=0&infants=0&sharedMarket=false&roundTripFaresFlag=false&usePoints=false","OK","","1104"
"HPN","PBI","09/02/2025 6:59am","B6 1067","09/02/2025 9:46am","167","$166","https://www.jetblue.com/booking/cb-flights?from=HPN&to=PBI&depart=09%2F02%2F2025&isMultiCity=false&noOfRoute=1&adults=1&children=0&infants=0&sharedMarket=false&roundTripFaresFlag=false&usePoints=false","OK","","1058"
"HPN","PBI","09/02/2025 10:59am","B6 1167","09/02/2025 1:50pm","171","$166","https://www.jetblue.com/booking/cb-flights?from=HPN&to=PBI&depart=09%2F02%2F2025&isMultiCity=false&noOfRoute=1&adults=1&children=0&infants=0&sharedMarket=false&roundTripFaresFlag=false&usePoints=false","OK","","1058"
"HPN","PBI","09/02/2025 6:30pm","B6 1567","09/02/2025 9:28pm","178","$166","https://www.jetblue.com/booking/cb-flights?from=HPN&to=PBI&depart=09%2F02%2F2025&isMultiCity=false&noOfRoute=1&adults=1&children=0&infants=0&sharedMarket=false&roundTripFaresFlag=false&usePoints=false","OK","","1058"
"HPN","MCO","09/02/2025 9:45am","B6 2695","09/02/2025 12:28pm","163","$99","https://www.jetblue.com/booking/cb-flights?from=HPN&to=MCO&depart=09%2F02%2F2025&isMultiCity=false&noOfRoute=1&adults=1&children=0&infants=0&sharedMarket=false&roundTripFaresFlag=false&usePoints=false","OK","","973"
