Origin,Destination,Departure Date,Flight Number,Departure Time,Arrival Time,Duration,Price,Stops,Route Type,Distance (MI)
"BOS","DTW","09/02/2025 4:36pm","B6 1237","09/02/2025 6:52pm","136","$284","https://www.jetblue.com/booking/cb-flights?from=BOS&to=DTW&depart=09%2F02%2F2025&isMultiCity=false&noOfRoute=1&adults=1&children=0&infants=0&sharedMarket=false&roundTripFaresFlag=false&usePoints=false","OK","","631"
"BOS","DFW","09/02/2025 10:23am","B6 815","09/02/2025 1:27pm","244","$270","https://www.jetblue.com/booking/cb-flights?from=BOS&to=DFW&depart=09%2F02%2F2025&isMultiCity=false&noOfRoute=1&adults=1&children=0&infants=0&sharedMarket=false&roundTripFaresFlag=false&usePoints=false","OK","","1559"
"BOS","DEN","09/02/2025 6:35am","B6 493","09/02/2025 9:02am","267","$189","https://www.jetblue.com/booking/cb-flights?from=BOS&to=DEN&depart=09%2F02%2F2025&isMultiCity=false&noOfRoute=1&adults=1&children=0&infants=0&sharedMarket=false&roundTripFaresFlag=false&usePoints=false","OK","","1750"
"BOS","DEN","09/02/2025 10:00am","B6 393","09/02/2025 12:37pm","277","$244","https://www.jetblue.com/booking/cb-flights?from=BOS&to=DEN&depart=09%2F02%2F2025&isMultiCity=false&noOfRoute=1&adults=1&children=0&infants=0&sharedMarket=false&roundTripFaresFlag=false&usePoints=false","OK","","1750"
"BOS","DEN","09/02/2025 6:59pm","B6 993","09/02/2025 9:43pm","284","$214","https://www.jetblue.com/booking/cb-flights?from=BOS&to=DEN&depart=09%2F02%2F2025&isMultiCity=false&noOfRoute=1&adults=1&children=0&infants=0&sharedMarket=false&roundTripFaresFlag=false&usePoints=false","OK","","1750"
"BOS","DCA","09/02/2025 6:25am","B6 2255","09/02/2025 8:03am","98","$194","https://www.jetblue.com/booking/cb-flights?from=BOS&to=DCA&depart=09%2F02%2F2025&isMultiCity=false&noOfRoute=1&adults=1&children=0&infants=0&sharedMarket=false&roundTripFaresFlag=false&usePoints=false","OK","","399"
"BOS","DCA","09/02/2025 8:00am","B6 455","09/02/2025 9:45am","105","$219","https://www.jetblue.com/booking/cb-flights?from=BOS&to=DCA&depart=09%2F02%2F2025&isMultiCity=false&noOfRoute=1&adults=1&children=0&infants=0&sharedMarket=false&roundTripFaresFlag=false&usePoints=false","OK","","399"
"BOS","DCA","09/02/2025 9:22am","B6 2355","09/02/2025 10:59am","97","$169","https://www.jetblue.com/booking/cb-flights?from=BOS&to=DCA&depart=09%2F02%2F2025&isMultiCity=false&noOfRoute=1&adults=1&children=0&infants=0&sharedMarket=false&roundTripFaresFlag=false&usePoints=false","OK","","399"
"BOS","DCA","09/02/2025 11:15am","B6 1055","09/02/2025 12:58pm","103","$194","https://www.jetblue.com/booking/cb-flights?from=BOS&to=DCA&depart=09%2F02%2F2025&isMultiCity=false&noOfRoute=1&adults=1&children=0&infants=0&sharedMarket=false&roundTripFaresFlag=false&usePoints=false","OK","","399"
"BOS","DCA","09/02/2025 1:20pm","B6 855","09/02/2025 3:08pm","108","$219","https://www.jetblue.com/booking/cb-flights?from=BOS&to=DCA&depart=09%2F02%2F2025&isMultiCity=false&noOfRoute=1&adults=1&children=0&infants=0&sharedMarket=false&roundTripFaresFlag=false&usePoints=false","OK","","399"
"BOS","DCA","09/02/2025 4:15pm","B6 1355","09/02/2025 6:05pm","110","$249","https://www.jetblue.com/booking/cb-flights?from=BOS&to=DCA&depart=09%2F02%2F2025&isMultiCity=false&noOfRoute=1&adults=1&children=0&infants=0&sharedMarket=false&roundTripFaresFlag=false&usePoints=false","OK","","399"
"BOS","DCA","09/02/2025 6:15pm","B6 1955","09/02/2025 8:03pm","108","$219","https://www.jetblue.com/booking/cb-flights?from=BOS&to=DCA&depart=09%2F02%2F2025&isMultiCity=false&noOfRoute=1&adults=1&children=0&infants=0&sharedMarket=false&roundTripFaresFlag=false&usePoints=false","OK","","399"
"BOS","CUN","09/02/2025 9:50am","B6 771","09/02/2025 1:15pm","265","$213","https://www.jetblue.com/booking/cb-flights?from=BOS&to=CUN&depart=09%2F02%2F2025&isMultiCity=false&noOfRoute=1&adults=1&children=0&infants=0&sharedMarket=false&roundTripFaresFlag=false&usePoints=false","OK","","1738"
"BOS","CLE","09/02/2025 9:10am","B6 2041","09/02/2025 11:12am","122","$199","https://www.jetblue.com/booking/cb-flights?from=BOS&to=CLE&depart=09%2F02%2F2025&isMultiCity=false&noOfRoute=1&adults=1&children=0&infants=0&sharedMarket=false&roundTripFaresFlag=false&usePoints=false","OK","","561"
"BOS","CLE","09/02/2025 11:50am","B6 641","09/02/2025 1:49pm","119","$169","https://www.jetblue.com/booking/cb-flights?from=BOS&to=CLE&depart=09%2F02%2F2025&isMultiCity=false&noOfRoute=1&adults=1&children=0&infants=0&sharedMarket=false&roundTripFaresFlag=false&usePoints=false","OK","","561"
"BOS","CLE","09/02/2025 7:59pm","B6 541","09/02/2025 10:05pm","126","$199","https://www.jetblue.com/booking/cb-flights?from=BOS&to=CLE&depart=09%2F02%2F2025&isMultiCity=false&noOfRoute=1&adults=1&children=0&infants=0&sharedMarket=false&roundTripFaresFlag=false&usePoints=false","OK","","561"
"BOS","CHS","09/02/2025 9:55am","B6 267","09/02/2025 12:24pm","149","$169","https://www.jetblue.com/booking/cb-flights?from=BOS&to=CHS&depart=09%2F02%2F2025&isMultiCity=false&noOfRoute=1&adults=1&children=0&infants=0&sharedMarket=false&roundTripFaresFlag=false&usePoints=false","OK","","819"
"BOS","CHS","09/02/2025 5:15pm","B6 2467","09/02/2025 7:50pm","155","$169","https://www.jetblue.com/booking/cb-flights?from=BOS&to=CHS&depart=09%2F02%2F2025&isMultiCity=false&noOfRoute=1&adults=1&children=0&infants=0&sharedMarket=false&roundTripFaresFlag=false&usePoints=false","OK","","819"
"BOS","CDG","09/02/2025 8:15pm","B6 33","09/02/2025 9:15am","420","$548","https://www.jetblue.com/booking/cb-flights?from=BOS&to=CDG&depart=09%2F02%2F2025&isMultiCity=false&noOfRoute=1&adults=1&children=0&infants=0&sharedMarket=false&roundTripFaresFlag=false&usePoints=false","OK","","3439"
"BOS","BZN","09/02/2025 7:30am","B6 257","09/02/2025 10:27am","297","$294","https://www.jetblue.com/booking/cb-flights?from=BOS&to=BZN&depart=09%2F02%2F2025&isMultiCity=false&noOfRoute=1&adults=1&children=0&infants=0&sharedMarket=false&roundTripFaresFlag=false&usePoints=false","OK","","1986"
"BOS","BUF","09/02/2025 7:30am","B6 1295","09/02/2025 9:04am","94","$129","https://www.jetblue.com/booking/cb-flights?from=BOS&to=BUF&depart=09%2F02%2F2025&isMultiCity=false&noOfRoute=1&adults=1&children=0&infants=0&sharedMarket=false&roundTripFaresFlag=false&usePoints=false","OK","","394"
"BOS","BUF","09/02/2025 11:54am","B6 1215","09/02/2025 1:26pm","92","$169","https://www.jetblue.com/booking/cb-flights?from=BOS&to=BUF&depart=09%2F02%2F2025&isMultiCity=false&noOfRoute=1&adults=1&children=0&infants=0&sharedMarket=false&roundTripFaresFlag=false&usePoints=false","OK","","394"
"BOS","BUF","09/02/2025 4:30pm","B6 1115","09/02/2025 6:10pm","100","$129","https://www.jetblue.com/booking/cb-flights?from=BOS&to=BUF&depart=09%2F02%2F2025&isMultiCity=false&noOfRoute=1&adults=1&children=0&infants=0&sharedMarket=false&roundTripFaresFlag=false&usePoints=false","OK","","394"
"BOS","BNA","09/02/2025 9:15am","B6 1807","09/02/2025 11:03am","168","$194","https://www.jetblue.com/booking/cb-flights?from=BOS&to=BNA&depart=09%2F02%2F2025&isMultiCity=false&noOfRoute=1&adults=1&children=0&infants=0&sharedMarket=false&roundTripFaresFlag=false&usePoints=false","OK","","941"
"BOS","BNA","09/02/2025 4:19pm","B6 507","09/02/2025 6:22pm","183","$134","https://www.jetblue.com/booking/cb-flights?from=BOS&to=BNA&depart=09%2F02%2F2025&isMultiCity=false&noOfRoute=1&adults=1&children=0&infants=0&sharedMarket=false&roundTripFaresFlag=false&usePoints=false","OK","","941"
"BOS","BNA","09/02/2025 8:59pm","B6 907","09/02/2025 10:52pm","173","$134","https://www.jetblue.com/booking/cb-flights?from=BOS&to=BNA&depart=09%2F02%2F2025&isMultiCity=false&noOfRoute=1&adults=1&children=0&infants=0&sharedMarket=false&roundTripFaresFlag=false&usePoints=false","OK","","941"
"BOS","BDA","09/02/2025 7:30am","B6 203","09/02/2025 10:44am","134","$329","https://www.jetblue.com/booking/cb-flights?from=BOS&to=BDA&depart=09%2F02%2F2025&isMultiCity=false&noOfRoute=1&adults=1&children=0&infants=0&sharedMarket=false&roundTripFaresFlag=false&usePoints=false","OK","","773"
"BOS","AUS","09/02/2025 12:59pm","B6 1039","09/02/2025 4:12pm","253","$269","https://www.jetblue.com/booking/cb-flights?from=BOS&to=AUS&depart=09%2F02%2F2025&isMultiCity=false&noOfRoute=1&adults=1&children=0&infants=0&sharedMarket=false&roundTripFaresFlag=false&usePoints=false","OK","","1696"
"BOS","AUA","09/02/2025 8:05am","B6 2173","09/02/2025 1:00pm","295","$279","https://www.jetblue.com/booking/cb-flights?from=BOS&to=AUA&depart=09%2F02%2F2025&isMultiCity=false&noOfRoute=1&adults=1&children=0&infants=0&sharedMarket=false&roundTripFaresFlag=false&usePoints=false","OK","","2064"
"BOS","ATL","09/02/2025 9:05am","B6 1097","09/02/2025 11:54am","169","$250","https://www.jetblue.com/booking/cb-flights?from=BOS&to=ATL&depart=09%2F02%2F2025&isMultiCity=false&noOfRoute=1&adults=1&children=0&infants=0&sharedMarket=false&roundTripFaresFlag=false&usePoints=false","OK","","945"
"BOS","ATL","09/02/2025 4:55pm","B6 1317","09/02/2025 8:00pm","185","$195","https://www.jetblue.com/booking/cb-flights?from=BOS&to=ATL&depart=09%2F02%2F2025&isMultiCity=false&noOfRoute=1&adults=1&children=0&infants=0&sharedMarket=false&roundTripFaresFlag=false&usePoints=false","OK","","945"
"BOS","ATL","09/02/2025 6:15pm","B6 697","09/02/2025 9:19pm","184","$250","https://www.jetblue.com/booking/cb-flights?from=BOS&to=ATL&depart=09%2F02%2F2025&isMultiCity=false&noOfRoute=1&adults=1&children=0&infants=0&sharedMarket=false&roundTripFaresFlag=false&usePoints=false","OK","","945"
