Flight Number,Origin,Destination,Departure Datetime,Arrival Datetime,Elapsed Minutes,Cheapest Price,Search URL,Error Status,Equipment
B6 469,BOS,FLL,11/01/2025 6:20am,11/01/2025 9:45am,205,$174,https://www.jetblue.com/booking/cb-flights?from=BOS&to=FLL&depart=11%2F01%2F2025&isMultiCity=false&noOfRoute=1&adults=1&children=0&infants=0&sharedMarket=false&roundTripFaresFlag=false&usePoints=false,OK,
B6 2169,BOS,FLL,11/01/2025 8:05am,11/01/2025 11:38am,213,$220,https://www.jetblue.com/booking/cb-flights?from=BOS&to=FLL&depart=11%2F01%2F2025&isMultiCity=false&noOfRoute=1&adults=1&children=0&infants=0&sharedMarket=false&roundTripFaresFlag=false&usePoints=false,OK,
B6 69,BOS,FLL,11/01/2025 10:45am,11/01/2025 2:08pm,203,$220,https://www.jetblue.com/booking/cb-flights?from=BOS&to=FLL&depart=11%2F01%2F2025&isMultiCity=false&noOfRoute=1&adults=1&children=0&infants=0&sharedMarket=false&roundTripFaresFlag=false&usePoints=false,OK,
B6 569,BOS,FLL,11/01/2025 4:15pm,11/01/2025 7:48pm,213,$89,https://www.jetblue.com/booking/cb-flights?from=BOS&to=FLL&depart=11%2F01%2F2025&isMultiCity=false&noOfRoute=1&adults=1&children=0&infants=0&sharedMarket=false&roundTripFaresFlag=false&usePoints=false,OK,
B6 1369,BOS,FLL,11/01/2025 7:40pm,11/01/2025 11:09pm,209,$89,https://www.jetblue.com/booking/cb-flights?from=BOS&to=FLL&depart=11%2F01%2F2025&isMultiCity=false&noOfRoute=1&adults=1&children=0&infants=0&sharedMarket=false&roundTripFaresFlag=false&usePoints=false,OK,
B6 2369,BOS,FLL,11/01/2025 8:29pm,11/01/2025 11:59pm,210,$74,https://www.jetblue.com/booking/cb-flights?from=BOS&to=FLL&depart=11%2F01%2F2025&isMultiCity=false&noOfRoute=1&adults=1&children=0&infants=0&sharedMarket=false&roundTripFaresFlag=false&usePoints=false,OK,
B6 343,BOS,GCM,11/01/2025 7:22am,11/01/2025 10:50am,268,$118,https://www.jetblue.com/booking/cb-flights?from=BOS&to=GCM&depart=11%2F01%2F2025&isMultiCity=false&noOfRoute=1&adults=1&children=0&infants=0&sharedMarket=false&roundTripFaresFlag=false&usePoints=false,OK,
B6 1433,BOS,IAH,11/01/2025 9:00am,11/01/2025 12:41pm,281,$199,https://www.jetblue.com/booking/cb-flights?from=BOS&to=IAH&depart=11%2F01%2F2025&isMultiCity=false&noOfRoute=1&adults=1&children=0&infants=0&sharedMarket=false&roundTripFaresFlag=false&usePoints=false,OK,
B6 109,BOS,JAX,11/01/2025 7:10am,11/01/2025 10:17am,187,$106,https://www.jetblue.com/booking/cb-flights?from=BOS&to=JAX&depart=11%2F01%2F2025&isMultiCity=false&noOfRoute=1&adults=1&children=0&infants=0&sharedMarket=false&roundTripFaresFlag=false&usePoints=false,OK,
B6 117,BOS,JFK,11/01/2025 5:40am,11/01/2025 7:00am,80,$189,https://www.jetblue.com/booking/cb-flights?from=BOS&to=JFK&depart=11%2F01%2F2025&isMultiCity=false&noOfRoute=1&adults=1&children=0&infants=0&sharedMarket=false&roundTripFaresFlag=false&usePoints=false,OK,
B6 217,BOS,JFK,11/01/2025 8:30am,11/01/2025 9:52am,82,$219,https://www.jetblue.com/booking/cb-flights?from=BOS&to=JFK&depart=11%2F01%2F2025&isMultiCity=false&noOfRoute=1&adults=1&children=0&infants=0&sharedMarket=false&roundTripFaresFlag=false&usePoints=false,OK,
B6 517,BOS,JFK,11/01/2025 1:42pm,11/01/2025 2:59pm,77,$64,https://www.jetblue.com/booking/cb-flights?from=BOS&to=JFK&depart=11%2F01%2F2025&isMultiCity=false&noOfRoute=1&adults=1&children=0&infants=0&sharedMarket=false&roundTripFaresFlag=false&usePoints=false,OK,
B6 717,BOS,JFK,11/01/2025 3:37pm,11/01/2025 4:54pm,77,$64,https://www.jetblue.com/booking/cb-flights?from=BOS&to=JFK&depart=11%2F01%2F2025&isMultiCity=false&noOfRoute=1&adults=1&children=0&infants=0&sharedMarket=false&roundTripFaresFlag=false&usePoints=false,OK,
B6 917,BOS,JFK,11/01/2025 6:34pm,11/01/2025 8:00pm,86,$64,https://www.jetblue.com/booking/cb-flights?from=BOS&to=JFK&depart=11%2F01%2F2025&isMultiCity=false&noOfRoute=1&adults=1&children=0&infants=0&sharedMarket=false&roundTripFaresFlag=false&usePoints=false,OK,
B6 1017,BOS,JFK,11/01/2025 7:52pm,11/01/2025 9:16pm,84,$64,https://www.jetblue.com/booking/cb-flights?from=BOS&to=JFK&depart=11%2F01%2F2025&isMultiCity=false&noOfRoute=1&adults=1&children=0&infants=0&sharedMarket=false&roundTripFaresFlag=false&usePoints=false,OK,
B6 2677,BOS,LAS,11/01/2025 7:20am,11/01/2025 10:26am,366,$529,https://www.jetblue.com/booking/cb-flights?from=BOS&to=LAS&depart=11%2F01%2F2025&isMultiCity=false&noOfRoute=1&adults=1&children=0&infants=0&sharedMarket=false&roundTripFaresFlag=false&usePoints=false,OK,
B6 177,BOS,LAS,11/01/2025 9:45pm,11/01/2025 12:42am,357,$219,https://www.jetblue.com/booking/cb-flights?from=BOS&to=LAS&depart=11%2F01%2F2025&isMultiCity=false&noOfRoute=1&adults=1&children=0&infants=0&sharedMarket=false&roundTripFaresFlag=false&usePoints=false,OK,
B6 387,BOS,LAX,11/01/2025 9:35am,11/01/2025 1:04pm,389,$279,https://www.jetblue.com/booking/cb-flights?from=BOS&to=LAX&depart=11%2F01%2F2025&isMultiCity=false&noOfRoute=1&adults=1&children=0&infants=0&sharedMarket=false&roundTripFaresFlag=false&usePoints=false,OK,
B6 487,BOS,LAX,11/01/2025 6:45pm,11/01/2025 10:19pm,394,$119,https://www.jetblue.com/booking/cb-flights?from=BOS&to=LAX&depart=11%2F01%2F2025&isMultiCity=false&noOfRoute=1&adults=1&children=0&infants=0&sharedMarket=false&roundTripFaresFlag=false&usePoints=false,OK,
B6 187,BOS,LAX,11/01/2025 8:25pm,11/01/2025 11:58pm,393,$119,https://www.jetblue.com/booking/cb-flights?from=BOS&to=LAX&depart=11%2F01%2F2025&isMultiCity=false&noOfRoute=1&adults=1&children=0&infants=0&sharedMarket=false&roundTripFaresFlag=false&usePoints=false,OK,
